,week,hours_assignmt,hours_mkrsp,challenging,engagement,frustrated,actual_movement,actual_time,headAngle,eL_angle,eR_angle,sL_angle,sR_angle,eL_movement,hL_movement,hR_movement,head_movement,sL_movement,sr_movement,eL_mvt,eR_mvt,hL_mvt,hR_mvt,head_mvt,sL_mvt,sR_mvt,handL_to_elbowR,handR_to_elbowL,handL_to_shoulderR,handR_to_shoulderL,head_to_elbwL,head_to_elbwR,head_to_handL,head_to_handR,head_to_joints,head_to_shldL,head_to_shldR,isTalking,lean_FB,lean_LR,leftHandRaised,rightHandRaised
12,2,12,,3,,4,2756.059534,550,-28.71740104,60.75268292,41.0407073,41.0407073,41.12687962,346.221939,342.8183703,341.7726855,362.3588885,353.6451792,353.6618111,564.5871047,565.2822619,598.4556394,604.7544594,556.258931,555.4175876,539.9806205,20.96614073,16.89125811,20.88161136,18.40699968,17.91029112,18.11446676,22.39610971,23.2648999,103.1159744,10.89129107,10.53891583,2.050473186,18.63130409,-12.36094201,15.92183666,15.41359972
13,2,11,,5,,5,1996.129209,550,-16.05749768,58.52803723,42.17532915,42.17532915,39.89088009,340.2596575,341.9063664,343.182324,353.5554768,344.1755956,347.1249089,1534.594944,1370.837038,1635.336036,1507.785367,1397.087089,1439.082079,1293.304061,21.29739784,20.17418066,20.42836379,19.71518384,18.50680863,14.76244554,21.04374199,18.6875847,96.07714882,13.40409282,9.672475127,2.899004663,17.34787178,-4.741607963,17.52975569,14.39061739
14,2,20,,4,,4,2786.3,150,4.362001853,63.84393087,36.97360396,36.97360396,47.41979354,314.7126016,309.8241273,316.444452,336.1956931,323.5108245,325.7141543,213.2409076,211.0653547,231.6425846,232.3255473,192.1659299,198.8394531,203.2848333,25.20120179,22.4822702,24.55961154,20.06094566,23.79578554,18.99467207,29.09797348,22.38448316,121.3961408,15.01628024,12.10694636,3.116883117,24.82973391,-2.888056291,10.25974026,10.45454545
15,2,24,,5,,4,2760.367973,280,-12.49053404,64.90790618,41.13031438,41.13031438,45.74927262,345.2368832,340.4617332,339.559421,362.1853172,354.0649568,352.3777582,373.3122587,339.3916952,422.1431843,392.7033191,338.4534849,348.7522621,325.2159284,20.62525671,22.28784141,21.36120801,22.54004917,20.91731464,18.4565043,25.90006965,24.71364759,113.7763444,12.6382318,11.15057644,1.88,16.25711029,-2.900714591,13.08,17.73333333
16,3,7,1,3,3,4,2957.077516,140,33.18226856,57.17003755,44.72511695,44.72511695,39.63540837,350.9976902,342.7472223,331.0263117,352.6930141,354.1067984,342.1683947,235.0886922,210.8257022,238.9830055,234.5565924,216.4564657,226.9073264,204.1299056,14.92313365,25.30916584,12.06521938,26.69958739,10.13395777,18.69929758,14.62547588,24.17153914,85.98291171,6.41662839,11.93601295,2.124430956,-11.80382113,-34.66771972,10.2933738,26.60596864
17,3,6,4,3,4,2,7325.408333,20,-146.8673354,90.34419892,62.67092838,62.67092838,41.93060384,360.5770481,353.1128248,378.5708382,381.4702342,367.9916246,373.9396071,1.830626139,1.611637989,2.157939699,1.316055154,1.449920969,1.699448364,1.574879067,23.39880744,21.44805686,25.60894557,16.93942402,20.89318607,10.92598165,30.27177204,13.92843209,97.36492301,13.4786096,7.866941562,0,-7.744553333,-48.25634917,25,58.33333333
18,3,6,1,3,,2,1829.044725,170,37.14161192,62.50158486,46.68737193,46.68737193,48.00119952,321.4418638,319.8983922,301.4142172,323.5591798,323.8890654,310.0358976,469.1916272,271.0377249,514.1733267,367.3141043,260.6755435,355.4816516,191.5488825,25.0674198,25.54821539,22.95164991,26.05052607,15.63942195,20.14062321,20.67907475,25.3905975,104.9969263,8.424356244,14.72285265,2.675840979,10.31668086,-20.46600906,9.441896024,20.01783894
19,3,10,4,2,,2,1527.021638,540,-66.81156293,54.45641158,34.34386027,34.34386027,44.41891178,304.9201251,304.6347181,320.6603056,329.6427383,313.568785,320.5031416,1355.025319,1137.50919,1526.882852,1176.125257,1248.441746,1263.523661,1143.925532,24.41298276,22.94422638,23.92695703,18.05177901,25.2886043,13.71373853,29.53324484,19.49398438,115.7372446,17.40182009,10.30585249,0.963733198,15.24237365,15.78322021,10.85045228,8.191732184
20,3,8,2,3,,4,2219.323891,130,8.697371062,58.71596983,40.23866823,40.23866823,34.04627293,350.9478577,354.6037733,345.9076967,361.1650164,358.5090676,353.1809897,221.9717855,201.3502485,249.4239015,254.213939,186.7328519,211.3776346,187.8465091,19.31353575,24.02463292,16.40987541,22.29918177,13.24665077,18.51610886,19.70542556,27.01338864,98.14992973,9.688395576,9.979960315,2.239789196,33.83201211,-1.751765796,8.849363197,4.787000439
21,3,4,1,3,,1,3221.956997,220,10.57687089,59.6597033,43.01139437,43.01139437,43.35332897,323.7996451,320.562563,314.850234,337.0687062,331.0991233,325.0516044,248.2879387,229.6512768,254.7543028,259.4065555,290.2006787,230.4384897,219.2866319,18.80679639,19.135907,16.82016243,22.00353546,16.61202933,21.31909081,21.21763306,25.09686319,111.0841015,12.46685793,14.37162715,5.46802595,22.93281223,-19.01846158,16.26506024,14.95211616
22,3,10,3,4,,3,4459.325532,50,-40.54765891,54.52391109,34.07233236,34.07233236,33.18566219,318.3937108,315.7629253,307.0255695,337.2785125,327.7045042,322.4993696,7.690455796,8.475110474,9.085441192,8.387011621,7.330100642,7.360351006,7.506273992,14.45056245,15.81525855,13.25259395,22.23724099,19.85637261,26.3547463,22.10926428,30.26021313,124.2748908,10.90822679,14.78606768,2.127659574,-1.393514245,4.013478982,9.574468085,18.08510638
23,3,12,6,5,,5,2320.583115,400,16.53714916,67.42575793,44.92498966,44.92498966,44.07759108,321.079068,319.1349276,329.0058461,341.8393895,329.4970447,333.6254819,586.6122413,576.6613291,592.2794303,597.6741058,547.6176142,565.8772909,546.1760974,20.66074917,20.20703249,19.25684257,16.31214455,21.65093388,15.95462958,24.0132151,17.20127489,102.6832961,13.63134236,10.23190031,2.54968129,32.54772216,10.79770021,30.44619423,29.6087989
24,3,16,2,5,,4,3125.872381,30,9.512513674,75.64376964,48.64229692,48.64229692,50.56799457,365.5974009,363.5004104,346.1267889,377.7801514,370.3846328,364.5136995,5.877009996,5.260212564,6.549651756,6.113264488,5.389491526,5.989065274,5.198913696,25.98060056,25.07573078,23.4355969,25.10409508,13.49161085,25.27248557,16.74071622,32.04048038,111.4586246,8.828665936,15.08466563,25.71428571,26.80699755,-0.569317726,2.857142857,11.42857143
25,3,5,1,2,,3,4361.654762,10,-93.1477524,62.07747043,35.39357538,35.39357538,38.09346702,269.9447189,264.9610582,265.8186727,301.7040096,283.8514044,282.5344766,1.543939476,1.404215325,1.69447892,1.009530301,1.852793423,1.63276457,1.951984274,10.8177438,10.43357879,19.5844642,21.34447608,31.75929073,30.713733,37.8728954,36.61275816,173.9808155,17.85260522,19.16953297,14.28571429,8.893921388,26.8217009,0,7.142857143
26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,8,4,4,5,1,2839.083905,540,-30.53905483,60.79638692,45.2555478,45.2555478,42.92429649,331.7244242,332.8591555,336.9518388,343.1959124,338.4277577,342.4586865,626.111576,516.3612664,677.3889121,578.6031129,501.1282343,603.8136009,509.9236186,24.24312083,21.31518522,22.34468128,18.86840488,18.3806111,14.39889907,24.07034653,19.34951432,100.1951435,14.13912124,9.856651228,2.445811365,27.47755224,6.716490033,15.7098223,18.23862527
33,4,8,6,3,5,3,2196.395198,320,-22.13282197,62.47130049,37.17036059,37.17036059,40.75568551,396.6936883,392.7996235,390.5031216,406.0775724,402.8754265,402.0066598,441.1407337,398.336276,475.0919448,438.4353227,371.9282131,420.4442754,361.9608503,16.78034931,19.80306991,16.79250034,21.46195345,12.25903225,15.87048372,17.12232615,19.72293347,82.48421084,8.8815681,8.62786716,4.304954305,8.603939483,5.81338575,19.40035273,21.20410454
34,4,6,4,3,5,3,2968.534469,150,29.34924926,55.97240119,29.94898252,29.94898252,38.53575213,385.7493791,377.1768923,367.9094293,392.3702154,392.6877938,380.1152227,104.119656,97.12438711,103.6627796,110.0989037,90.40042539,95.6043358,89.1796477,18.50215295,27.03622317,19.22818335,30.08889348,12.85924412,20.06438881,20.24095144,26.59637651,103.4110972,10.3497207,13.30041566,4.008016032,4.22294505,-33.61414759,4.909819639,11.22244489
35,4,15,5,5,3,5,2080.669471,290,6.018597645,57.19558097,35.21250949,35.21250949,38.08350687,359.1575098,353.6284759,351.3638365,365.7751488,364.0447624,356.2557277,333.5542439,305.6817034,385.2857549,352.5129324,295.9938751,309.8295255,279.8139062,22.71720685,25.07985032,19.08268613,24.2136421,15.4602237,18.78936955,18.09920237,19.51622274,95.22756332,11.18491674,12.17762821,3.092042186,-1.37917479,-11.38472776,9.699584532,14.18184724
36,4,5,2,4,5,3,3196.678405,220,-36.90447899,57.48634466,43.40985027,43.40985027,43.23286378,312.8362178,311.6107541,314.1317625,329.6506776,320.1407163,321.7667927,188.1257681,188.5491645,208.4221631,206.3449492,166.0212616,169.4106771,169.5236369,15.30256513,16.24792005,16.8059733,16.48854411,18.29959793,14.98407907,20.13224103,18.43938845,92.61552473,11.64029268,9.119925565,3.605769231,0.550461331,-5.883554002,11.59855769,12.15945513
37,4,4,1.5,2,4,2,1715.066471,160,-8.266364617,59.67244798,39.2420436,39.2420436,39.33732777,370.4816213,386.0646747,357.8636271,379.4103799,371.4470369,368.4793605,193.5156227,190.3273261,213.6901015,226.0384407,170.4549094,177.989909,177.9665254,33.23403772,18.33699843,37.26065429,20.69739957,11.96494641,15.45907075,35.28902256,23.9600344,109.9543892,11.48387683,11.79743829,2.726510067,-15.33644518,-9.245421604,30.2852349,10.78020134
38,4,3,1,3,4,3,2877.973969,250,-23.07844192,64.80740053,42.9781723,42.9781723,49.90382808,319.2677237,312.1711092,314.9741936,334.2460777,326.9350332,325.5552356,653.4115504,570.2136715,681.7020694,606.9860311,579.7114814,610.7411496,547.5532917,22.90986046,25.74101785,22.88218912,24.68780768,19.24467704,17.60311704,24.5878359,23.62198289,109.4209951,12.85101457,11.51236767,3.418391911,17.1122657,-5.61704823,13.17605521,15.25437329
39,4,4,2.5,3,,4,1786.187105,320,0.586455299,62.38203457,38.96016703,38.96016703,39.28406143,335.5743129,335.9086592,339.9071385,354.113639,343.4174863,346.7629402,368.2615308,335.5368859,439.5476727,406.8824485,301.0906813,325.6185485,305.8243684,21.55768916,18.26147473,24.65402928,18.56125566,22.0556874,13.78253692,24.98296998,19.48201865,104.8747755,14.83057647,9.74098609,4.177958446,2.658621844,13.17473174,12.17253839,11.17886179
40,4,2,1,1,,1,1697.419157,170,-65.96695367,63.23500604,47.02881628,47.02881628,47.86467074,408.3944509,408.7261094,410.7371861,422.1836415,412.7877928,420.1733914,174.6566534,156.7380766,184.4380441,180.0583854,158.7175109,165.233934,152.571741,16.64409644,17.267751,16.66672986,15.80063648,16.08225719,13.06429705,17.86324732,17.16733933,82.11076239,10.72862948,7.204992019,2.795600367,44.58761362,18.14943887,29.26978307,20.25664528
41,4,10,5,3,,2,2371.72479,370,-11.75265111,55.66339288,41.51166507,41.51166507,40.53030345,347.5535808,345.5350142,345.2879886,358.6640919,353.0353151,351.6173223,1005.906727,773.2155489,918.2280384,860.9977515,787.0663065,994.5720067,742.4558417,17.93019734,22.7829202,18.6731334,24.76032534,17.603492,15.69785583,20.51208171,20.10771804,99.22818394,14.98850195,10.3185344,9.873188406,6.409020752,-3.628735243,13.54405034,12.91475973
42,4,22,4.5,5,,3,2731.013715,440,14.77751517,55.59161427,37.14998412,37.14998412,43.13356842,374.9650131,367.3705615,361.5795606,385.0062754,382.609213,372.8077454,2234.706688,1765.458503,2317.734365,1829.156989,1847.712854,2119.190943,1716.083573,21.81326873,25.26177122,20.70144281,27.65766055,15.18331935,21.63707078,22.92157883,25.99317317,110.7482044,11.12585922,13.88720305,3.152013494,24.8747189,-13.49398648,10.53482325,11.9544592
43,4,8,3,3,,2,2518.522272,150,-19.26417537,59.42839742,36.8708483,36.8708483,34.53460242,348.5683466,342.11848,345.1429282,362.8618449,356.9434689,356.3322077,371.1918094,402.9913726,393.2940061,441.2724258,333.2505574,355.6411096,365.3708429,17.76517872,18.97011823,20.08281146,21.60447397,16.33593581,17.70253881,24.00868565,22.08199192,100.3019078,10.26796523,9.904790415,2.382596685,14.82069969,-14.06486278,8.494475138,7.2053407
44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,4,0,3,4,1,2590.214755,140,-24.4136805,69.26845101,45.09895905,45.09895905,39.74931315,382.4480813,380.5538271,392.2336874,398.657255,392.3209279,395.2250269,128.284855,124.2654465,133.798666,140.0270245,120.6867643,122.2548448,121.1612549,19.2478257,25.43944851,18.48034202,20.80844174,18.08056877,15.05439365,19.33789484,22.37722919,93.81442487,10.57640253,8.387935886,4.493628437,3.93050875,7.622727252,10.6639839,9.121395037
49,5,4,0,2,5,2,6582.837778,30,61.7599117,57.57275174,39.00353303,39.00353303,40.00529215,310.6193188,309.5126124,313.3485907,332.5719556,318.9440807,329.3380738,5.984424662,6.78879231,6.26159799,8.035786908,5.903717254,6.08136203,6.228905654,18.42084981,19.04784211,21.56016098,16.18606294,21.96121234,13.57873242,23.64539069,21.84664463,100.3388278,13.62787499,5.678972758,2.222222222,17.70591689,1.992789905,6.666666667,13.33333333
50,5,7,0,3,5,1,1070.805492,20,13.40342254,53.64690702,30.11601216,30.11601216,44.23874745,401.0827876,396.3102323,375.8408919,401.0305179,406.1676742,388.7154012,34.77803611,33.49692315,48.49411101,46.66448158,28.60985791,29.11285169,27.77378557,20.13805702,26.05014736,17.09864256,30.70557853,8.746189996,19.70596927,16.8927333,25.66071552,90.84847349,7.459385463,12.38347994,2.059496568,-11.44928311,-48.65313024,13.72997712,5.415713196
51,5,6,0,3,,2,972.6426146,220,97.86466268,68.62112464,66.5530553,66.5530553,63.23294102,371.2598041,378.7574901,382.3932188,379.0358363,376.2859887,368.9121776,81.99616953,63.45062495,83.30600088,92.61829577,62.69654258,72.90350407,50.03606323,7.38714059,22.96005614,17.17491214,18.473334,13.27368435,7.578686563,8.952806409,16.15554301,64.03753767,6.124633827,11.95218351,1.655348048,15.16181202,6.232019117,17.95415959,80.475382
52,5,4,0,3,,2,787.7126076,150,-45.64062221,57.0813257,42.07469364,42.07469364,56.82906494,319.0536427,320.9294756,320.5594434,348.4113277,332.3481731,345.3201988,63.16326416,59.25400931,85.65204587,79.4035985,54.16831012,57.53042743,45.7483623,17.51929081,12.0075402,27.63587905,14.88436683,30.68450701,21.50857272,29.3125769,28.54545698,133.5968012,17.59357696,5.952110659,1.10701107,1.389669451,-9.932643541,24.1697417,24.200492
53,5,6,0,3,,3,2178.446028,150,-24.66674429,55.90314202,41.39210455,41.39210455,40.98040496,276.1715003,281.9036818,280.1094894,295.857479,281.1734673,289.1424148,45.38555431,47.40159095,52.20271135,52.29450651,35.64977824,40.91619103,39.65929517,13.25337403,15.91956872,13.40999149,17.41896196,20.33584457,15.17680862,16.6825951,18.38480178,95.2652462,15.35424577,9.330950364,4.663212435,-4.778515471,16.46153268,26.03626943,27.20207254
